participant_id,P1,P2,P3i,P3ii,P4,P5,TOTAL,post_total
P001,1.0,2.0,0,0.0,1.0,2.0,6.0,6.0
P002,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5
P003,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P004,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0
P005,1.0,0.0,1,1.0,2.0,2.0,7.0,7.0
P006,1.0,2.0,1,1.0,1.5,3.0,9.5,9.5
P007,1.0,0.0,1,0.0,1.5,1.5,5.0,5.0
P008,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0
P009,1.0,2.0,1,1.0,1.5,1.5,8.0,8.0
P010,1.0,1.0,0,0.0,2.0,1.5,5.5,5.5
P011,1.0,0.0,0,0.0,1.0,0.5,2.5,2.5
P012,1.0,0.0,1,0.0,1.0,2.0,5.0,5.0
P013,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5
P014,1.0,0.0,0,0.0,1.0,0.5,2.5,2.5
P015,1.0,0.0,1,0.5,1.5,1.5,5.5,5.5
P016,0.5,2.0,1,1.0,2.0,1.5,8.0,8.0
P017,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P018,1.0,0.0,0,0.0,2.0,1.5,4.5,4.5
P019,1.0,0.0,0,0.0,1.0,2.0,4.0,4.0
P020,1.0,0.0,1,1.0,2.0,1.5,6.5,6.5
P021,1.0,0.0,1,1.0,1.5,3.0,7.5,7.5
P022,1.0,0.0,1,0.0,1.0,1.0,4.0,4.0
P023,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0
P024,1.0,1.5,1,1.0,2.0,2.5,9.0,9.0
P025,1.0,0.0,1,1.0,1.5,2.5,7.0,7.0
P026,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P027,1.0,2.0,1,1.0,1.0,3.0,9.0,9.0
P028,0.0,2.0,1,1.0,2.0,1.5,7.5,7.5
P029,1.0,2.0,0,0.0,2.0,2.5,7.5,7.5
P030,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P031,1.0,0.0,0,0.0,2.0,2.5,5.5,5.5
P032,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P033,0.0,2.0,1,1.0,2.0,1.5,7.5,7.5
P034,1.0,0.0,1,1.0,1.5,1.0,5.5,5.5
P035,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P036,1.0,0.0,1,1.0,1.5,3.0,7.5,7.5
P037,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P038,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0
P039,1.0,1.0,1,0.0,1.0,2.5,6.5,6.5
P040,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0
P041,1.0,2.0,0,0.0,2.0,2.0,7.0,7.0
P042,1.0,2.0,1,1.0,1.5,0.5,7.0,7.0
P043,1.0,1.0,1,1.0,2.0,1.0,7.0,7.0
P044,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0
P045,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P046,1.0,0.0,1,1.0,1.5,3.0,7.5,7.5
P047,1.0,2.0,1,1.0,1.5,3.0,9.5,9.5
P048,0.0,0.0,1,1.0,1.0,1.0,4.0,4.0
P049,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P050,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5
P051,0.0,0.0,0,0.0,2.0,1.5,3.5,3.5
P052,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0
P053,1.0,2.0,0,0.0,2.0,2.0,7.0,7.0
P054,1.0,0.0,1,1.0,1.5,0.5,5.0,5.0
P055,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0
P056,1.0,0.0,1,1.0,1.5,3.0,7.5,7.5
P057,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0
P058,0.5,2.0,1,1.0,2.0,2.0,8.5,8.5
P059,1.0,1.5,1,1.0,2.0,2.5,9.0,9.0
P060,0.0,0.0,1,1.0,1.0,1.0,4.0,4.0
P061,1.0,0.0,1,1.0,1.5,2.0,6.5,6.5
P062,1.0,2.0,0,0.0,2.0,1.5,6.5,6.5
P063,1.0,0.0,0,0.0,2.0,2.0,5.0,5.0
P064,1.0,0.0,0,0.0,1.5,1.5,4.0,4.0
P065,1.0,0.0,1,1.0,1.5,2.0,6.5,6.5
P066,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5
P067,1.0,2.0,0,0.0,1.0,2.0,6.0,6.0
P068,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P069,1.0,1.0,1,0.5,2.0,0.5,6.0,6.0
P070,1.0,2.0,0,0.0,2.0,3.0,8.0,8.0
P071,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0
P072,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5
P073,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P074,0.0,1.0,0,0.0,1.5,2.0,4.5,4.5
P075,1.0,2.0,1,0.5,1.5,2.5,8.5,8.5
P076,1.0,2.0,1,1.0,1.5,1.0,7.5,7.5
P077,0.5,0.0,0,0.0,1.5,1.5,3.5,3.5
P078,1.0,0.0,1,1.0,1.5,2.5,7.0,7.0
P079,0.5,2.0,1,1.0,1.5,2.0,8.0,8.0
P080,1.0,2.0,1,0.5,2.0,1.5,8.0,8.0
P081,1.0,0.0,0,0.0,2.0,0.5,3.5,3.5
P082,1.0,2.0,1,1.0,1.5,2.0,8.5,8.5
P083,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P084,1.0,2.0,1,1.0,1.0,1.5,7.5,7.5
P085,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P086,1.0,2.0,0,0.0,2.0,2.0,7.0,7.0
P087,0.5,2.0,0,0.0,1.5,3.0,7.0,7.0
P088,0.5,0.0,1,1.0,2.0,0.0,4.5,4.5
P089,0.5,2.0,0,0.0,1.5,3.0,7.0,7.0
P090,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0
P091,0.5,0.0,0,0.0,1.5,1.5,3.5,3.5
P092,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P093,0.5,2.0,0,0.0,1.5,3.0,7.0,7.0
P094,1.0,2.0,0,0.0,1.5,2.0,6.5,6.5
P095,1.0,0.0,1,1.0,2.0,1.5,6.5,6.5
P096,1.0,2.0,1,0.0,2.0,2.5,8.5,8.5
P097,1.0,0.0,1,0.0,2.0,0.5,4.5,4.5
P098,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P099,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P100,1.0,0.0,0,0.0,1.5,1.0,3.5,3.5
P101,1.0,2.0,1,0.0,2.0,2.5,8.5,8.5
P102,1.0,2.0,1,1.0,2.0,1.0,8.0,8.0
P103,1.0,2.0,1,1.0,2.0,1.0,8.0,8.0
P104,1.0,2.0,1,1.0,1.5,3.0,9.5,9.5
P105,1.0,0.0,0,0.0,2.0,2.5,5.5,5.5
P106,1.0,0.0,0,0.0,2.0,2.5,5.5,5.5
P107,0.5,2.0,0,0.0,2.0,2.5,7.0,7.0
P108,1.0,1.0,1,1.0,1.5,1.5,7.0,7.0
P109,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5
P110,1.0,0.0,0,0.0,1.5,2.0,4.5,4.5
P111,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5
P112,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P113,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P114,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0
P115,1.0,0.0,1,1.0,1.5,3.0,7.5,7.5
P116,0.5,2.0,1,1.0,2.0,2.0,8.5,8.5
P117,1.0,1.5,1,1.0,1.5,2.5,8.5,8.5
P118,0.0,2.0,1,0.0,2.0,2.5,7.5,7.5
P119,1.0,1.5,1,1.0,2.0,3.0,9.5,9.5
P120,1.0,2.0,0,0.0,2.0,2.5,7.5,7.5
P121,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P122,1.0,0.0,0,0.0,2.0,3.0,6.0,6.0
P123,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0
P124,0.5,2.0,1,1.0,1.5,3.0,9.0,9.0
P125,1.0,2.0,1,0.0,2.0,2.5,8.5,8.5
P126,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P127,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0
P128,1.0,2.0,0,0.0,1.5,3.0,7.5,7.5
P129,1.0,1.5,1,1.0,2.0,3.0,9.5,9.5
P130,1.0,2.0,0,0.0,2.0,2.5,7.5,7.5
P131,1.0,1.5,1,1.0,1.5,3.0,9.0,9.0
P132,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P133,1.0,2.0,1,1.0,1.5,0.5,7.0,7.0
P134,0.0,2.0,1,1.0,1.5,0.5,6.0,6.0
P135,1.0,2.0,0,0.0,1.5,3.0,7.5,7.5
P136,1.0,0.0,1,1.0,2.0,2.5,7.5,7.5
P137,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0
P138,0.0,0.0,0,0.0,2.0,2.5,4.5,4.5
P139,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0
P140,1.0,0.0,1,1.0,0.5,2.0,5.5,5.5
P141,0.0,2.0,1,1.0,2.0,0.5,6.5,6.5
P142,0.0,2.0,1,0.0,1.5,1.5,6.0,6.0
P143,1.0,0.0,1,1.0,2.0,1.5,6.5,6.5
P144,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P145,1.0,0.0,1,1.0,2.0,2.5,7.5,7.5
P146,1.0,2.0,0,0.0,2.0,2.0,7.0,7.0
P147,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5
P148,1.0,0.0,1,1.0,2.0,2.5,7.5,7.5
P149,1.0,0.0,1,1.0,2.0,2.5,7.5,7.5
P150,1.0,2.0,0,0.0,1.5,1.5,6.0,6.0
